playerName,position,team,rank,adp,delta,value,sources
Deshaun Watson,QB,CLE,179,291.0,112.0,undervalued,3
Kirk Cousins,QB,LV,212,305.0,93.0,undervalued,3
Daniel Jones,QB,IND,76,166.0,90.0,undervalued,3
Rashod Bateman,WR,BAL,200,290.0,90.0,undervalued,3
Elic Ayomanor,WR,TEN,220,308.0,88.0,undervalued,1
Geno Smith,QB,NYJ,138,224.0,86.0,undervalued,3
Jack Bech,WR,LV,212,298.0,86.0,undervalued,3
Samaje Perine,RB,CIN,228,314.0,86.0,undervalued,3
Kaelon Black,RB,SF,222,299.0,77.0,undervalued,3
Germie Bernard,WR,PIT,173,249.0,76.0,undervalued,3
Bo Nix,QB,DEN,26,100.0,74.0,undervalued,3
Brock Purdy,QB,SF,29,102.0,73.0,undervalued,3
Tyler Shough,QB,NO,57,130.0,73.0,undervalued,3
Matthew Stafford,QB,LAR,32,104.0,72.0,undervalued,3
Tua Tagovailoa,QB,ATL,166,238.0,72.0,undervalued,3
Troy Franklin,WR,DEN,175,245.0,70.0,undervalued,1
Kyler Murray,QB,MIN,53,122.0,69.0,undervalued,3
Trevor Lawrence,QB,JAC,22,87.0,65.0,undervalued,3
Chimere Dike,WR,TEN,203,267.0,64.0,undervalued,1
Dontayvion Wicks,WR,PHI,252,316.0,64.0,undervalued,3
Jaxson Dart,QB,NYG,17,80.0,63.0,undervalued,3
Devin Neal,RB,NO,250,312.0,62.0,undervalued,1
J.J. McCarthy,QB,MIN,234,295.0,61.0,undervalued,3
Dak Prescott,QB,DAL,22,82.0,60.0,undervalued,3
Baker Mayfield,QB,TB,69,129.0,60.0,undervalued,3
Jayden Daniels,QB,WAS,3,60.0,57.0,undervalued,3
Cam Ward,QB,TEN,93,150.0,57.0,undervalued,3
Justin Fields,QB,KC,265,321.0,56.0,undervalued,3
Jaylin Noel,WR,HOU,196,250.0,54.0,undervalued,3
Jalen Hurts,QB,PHI,10,63.0,53.0,undervalued,3
C.J. Stroud,QB,HOU,91,144.0,53.0,undervalued,3
Jared Goff,QB,DET,64,115.0,51.0,undervalued,3
Jacoby Brissett,QB,ARI,140,191.0,51.0,undervalued,3
Michael Penix Jr.,QB,ATL,193,244.0,51.0,undervalued,3
Justin Herbert,QB,LAC,30,79.0,49.0,undervalued,3
Caleb Williams,QB,CHI,28,76.0,48.0,undervalued,3
Mason Taylor,TE,NYJ,237,284.0,47.0,undervalued,1
Tre' Harris,WR,LAC,172,218.0,46.0,undervalued,1
Bryce Young,QB,CAR,104,149.0,45.0,undervalued,3
Darnell Mooney,WR,NYG,199,243.0,44.0,undervalued,3
Devaughn Vele,WR,NO,256,300.0,44.0,undervalued,1
Drake Maye,QB,NE,8,49.0,41.0,undervalued,3
Jordan Love,QB,GB,84,125.0,41.0,undervalued,3
Malik Willis,QB,MIA,87,127.0,40.0,undervalued,3
Jerry Jeudy,WR,CLE,146,185.0,39.0,undervalued,3
Ray Davis,RB,BUF,170,209.0,39.0,undervalued,3
Najee Harris,RB,LAC,270,309.0,39.0,undervalued,1
Joe Burrow,QB,CIN,12,50.0,38.0,undervalued,3
Shedeur Sanders,QB,CLE,202,239.0,37.0,undervalued,3
Darnell Washington,TE,PIT,283,320.0,37.0,undervalued,1
Adonai Mitchell,WR,NYJ,160,196.0,36.0,undervalued,3
Tre Tucker,WR,LV,162,198.0,36.0,undervalued,3
De'Zhaun Stribling,WR,SF,235,271.0,36.0,undervalued,3
Sam Darnold,QB,SEA,100,135.0,35.0,undervalued,3
Keon Coleman,WR,BUF,259,294.0,35.0,undervalued,3
Ryan Flournoy,WR,DAL,213,247.0,34.0,undervalued,3
Lamar Jackson,QB,BAL,3,36.0,33.0,undervalued,3
Matthew Golden,WR,GB,110,143.0,33.0,undervalued,3
Calvin Ridley,WR,TEN,163,195.0,32.0,undervalued,3
Cooper Kupp,WR,SEA,223,255.0,32.0,undervalued,3
Fernando Mendoza,QB,LV,124,155.0,31.0,undervalued,3
Justice Hill,RB,BAL,206,235.0,29.0,undervalued,3
Elijah Sarratt,WR,BAL,262,289.0,27.0,undervalued,3
Khalil Shakir,WR,BUF,123,147.0,24.0,undervalued,3
Chris Bell,WR,MIA,216,240.0,24.0,undervalued,3
T.J. Hockenson,TE,MIN,135,158.0,23.0,undervalued,3
Marvin Mims Jr.,WR,DEN,235,258.0,23.0,undervalued,1
Michael Mayer,TE,LV,300,322.0,22.0,undervalued,1
Aaron Rodgers,QB,PIT,151,171.0,20.0,undervalued,3
Christian Kirk,WR,SF,240,260.0,20.0,undervalued,3
Tank Bigsby,RB,PHI,157,176.0,19.0,undervalued,3
Tory Horton,WR,SEA,261,280.0,19.0,undervalued,3
Evan Engram,TE,DEN,274,293.0,19.0,undervalued,3
Josh Allen,QB,BUF,1,19.0,18.0,undervalued,3
Michael Pittman Jr.,WR,PIT,89,107.0,18.0,undervalued,3
Colby Parkinson,TE,LAR,219,237.0,18.0,undervalued,1
Keenan Allen,WR,LAC,259,276.0,17.0,undervalued,1
Jayden Higgins,WR,HOU,137,153.0,16.0,undervalued,3
Braelon Allen,RB,NYJ,158,174.0,16.0,undervalued,3
Jordan James,RB,SF,216,232.0,16.0,undervalued,3
Mike Gesicki,TE,CIN,286,301.0,15.0,undervalued,3
Jalen Coker,WR,CAR,142,156.0,14.0,undervalued,3
Max Klare,TE,LAR,289,303.0,14.0,undervalued,1
Jarquez Hunter,RB,LAR,280,292.0,12.0,undervalued,1
Wan'Dale Robinson,WR,TEN,103,113.0,10.0,undervalued,3
Aaron Jones Sr.,RB,MIN,106,116.0,10.0,undervalued,3
Pat Bryant,WR,DEN,242,252.0,10.0,undervalued,3
Antonio Williams,WR,WAS,170,179.0,9.0,undervalued,3
Kyle Williams,WR,NE,257,266.0,9.0,undervalued,1
Garrett Wilson,WR,NYJ,38,43.0,5.0,fair,3
Dallas Goedert,TE,PHI,112,117.0,5.0,fair,3
Denzel Boston,WR,CLE,155,160.0,5.0,fair,3
Rashee Rice,WR,KC,28,32.0,4.0,fair,3
Isiah Pacheco,RB,DET,148,152.0,4.0,fair,3
KC Concepcion,WR,CLE,136,139.0,3.0,fair,3
Woody Marks,RB,HOU,137,140.0,3.0,fair,3
Brashard Smith,RB,KC,258,261.0,3.0,fair,1
Audric Estime,RB,NO,282,285.0,3.0,fair,1
Terry McLaurin,WR,WAS,57,59.0,2.0,fair,3
Courtland Sutton,WR,DEN,86,88.0,2.0,fair,3
Kenny Gainwell,RB,TB,104,106.0,2.0,fair,3
Josh Downs,WR,IND,118,120.0,2.0,fair,3
Travis Hunter,WR,JAC,160,162.0,2.0,fair,3
Carnell Tate,WR,TEN,72,73.0,1.0,fair,3
Omar Cooper Jr.,WR,NYJ,158,159.0,1.0,fair,3
Jalen Nailor,WR,LV,192,193.0,1.0,fair,3
Malik Washington,WR,MIA,226,227.0,1.0,fair,3
Jakobi Meyers,WR,JAC,103,103.0,0.0,fair,3
MarShawn Lloyd,RB,GB,242,242.0,0.0,fair,3
Joe Mixon,RB,FA,281,281.0,0.0,fair,1
Nico Collins,WR,HOU,25,24.0,-1.0,fair,3
DK Metcalf,WR,PIT,87,86.0,-1.0,fair,3
Davante Adams,WR,LAR,58,56.0,-2.0,fair,3
Chris Rodriguez Jr.,RB,JAC,148,146.0,-2.0,fair,3
Puka Nacua,WR,LAR,7,4.0,-3.0,fair,3
Parker Washington,WR,JAC,97,94.0,-3.0,fair,3
Alvin Kamara,RB,NO,148,145.0,-3.0,fair,3
Jalen McMillan,WR,TB,157,154.0,-3.0,fair,3
Ja'Marr Chase,WR,CIN,7,3.0,-4.0,fair,3
Jaxon Smith-Njigba,WR,SEA,10,6.0,-4.0,fair,3
Drake London,WR,ATL,21,17.0,-4.0,fair,3
Trey McBride,TE,ARI,25,21.0,-4.0,fair,3
Jordan Addison,WR,MIN,114,110.0,-4.0,fair,3
Jayden Reed,WR,GB,122,118.0,-4.0,fair,3
Jaylen Wright,RB,MIA,218,214.0,-4.0,fair,3
Jahmyr Gibbs,RB,DET,7,2.0,-5.0,fair,3
CeeDee Lamb,WR,DAL,16,11.0,-5.0,fair,3
Alec Pierce,WR,IND,88,83.0,-5.0,fair,3
Demond Claiborne,RB,MIN,226,221.0,-5.0,fair,3
Bijan Robinson,RB,ATL,7,1.0,-6.0,overvalued,3
Amon-Ra St. Brown,WR,DET,14,8.0,-6.0,overvalued,3
Marvin Harrison Jr.,WR,ARI,83,77.0,-6.0,overvalued,3
Rashid Shaheed,WR,SEA,147,141.0,-6.0,overvalued,3
Mike Washington Jr.,RB,LV,173,167.0,-6.0,overvalued,3
Kimani Vidal,RB,LAC,212,206.0,-6.0,overvalued,3
George Holani,RB,SEA,270,264.0,-6.0,overvalued,3
Christian McCaffrey,RB,SF,12,5.0,-7.0,overvalued,3
Zay Flowers,WR,BAL,49,42.0,-7.0,overvalued,3
Rome Odunze,WR,CHI,72,65.0,-7.0,overvalued,3
Romeo Doubs,WR,NE,138,131.0,-7.0,overvalued,3
Jonathan Taylor,RB,IND,15,7.0,-8.0,overvalued,3
Justin Jefferson,WR,MIN,20,12.0,-8.0,overvalued,3
De'Von Achane,RB,MIA,21,13.0,-8.0,overvalued,3
Jeremiyah Love,RB,ARI,30,22.0,-8.0,overvalued,3
A.J. Brown,WR,NE,33,25.0,-8.0,overvalued,3
Chris Olave,WR,NO,36,28.0,-8.0,overvalued,3
Ladd McConkey,WR,LAC,53,45.0,-8.0,overvalued,3
Jordyn Tyson,WR,NO,92,84.0,-8.0,overvalued,3
Terrance Ferguson,TE,LAR,181,173.0,-8.0,overvalued,3
Kaytron Allen,RB,WAS,211,203.0,-8.0,overvalued,3
Emeka Egbuka,WR,TB,53,44.0,-9.0,overvalued,3
Mark Andrews,TE,BAL,123,114.0,-9.0,overvalued,3
Kenyon Sadiq,TE,NYJ,147,138.0,-9.0,overvalued,3
Tetairoa McMillan,WR,CAR,47,37.0,-10.0,overvalued,3
Jameson Williams,WR,DET,68,58.0,-10.0,overvalued,3
Jake Ferguson,TE,DAL,115,105.0,-10.0,overvalued,3
Jaylen Waddle,WR,DEN,62,51.0,-11.0,overvalued,3
Sam LaPorta,TE,DET,86,75.0,-11.0,overvalued,3
Tony Pollard,RB,TEN,92,81.0,-11.0,overvalued,3
