adp,age,bye_week,draft_pick,draft_round,fantasy_points,player_id,player_name,position,rank_consensus,season,source_count,team
186.0,,,186,16,271.65999999999997,tom_brady,Tom Brady,QB,,2022,0,UNK
,,,,,0.16,andy_lee,Andy Lee,P,,2022,0,UNK
,,,,,0.0,robbie_gould,Robbie Gould,K,,2022,0,UNK
172.0,,,172,15,239.20000000000002,aaron_rodgers,Aaron Rodgers,QB,,2022,0,UNK
158.0,,,158,14,0.0,matt_prater,Matt Prater,K,,2022,0,UNK
,,,,,20.6,marcedes_lewis,Marcedes Lewis,TE,,2022,0,UNK
,,,,,0.0,nick_folk,Nick Folk,K,,2022,0,UNK
,,,,,0.0,mason_crosby,Mason Crosby,K,,2022,0,UNK
,,,,,0.0,brett_kern,Brett Kern,P,,2022,0,UNK
,,,,,0.0,j.j._jansen,J.J. Jansen,LS,,2022,0,UNK
84.0,,,84,7,155.28,matt_ryan,Matt Ryan,QB,,2022,0,UNK
,,,,,48.339999999999996,joe_flacco,Joe Flacco,QB,,2022,0,UNK
,,,,,0.0,duane_brown,Duane Brown,OT,,2022,0,UNK
,,,,,15.3,desean_jackson,DeSean Jackson,WR,,2022,0,UNK
,,,,,0.0,calais_campbell,Calais Campbell,DE,,2022,0,UNK
,,,,,-0.5,chad_henne,Chad Henne,QB,,2022,0,UNK
,,,,,0.0,matthew_slater,Matthew Slater,WR,,2022,0,UNK
,,,,,0.7000000000000001,josh_johnson,Josh Johnson,QB,,2022,0,UNK
24.0,,,24,2,108.38000000000001,matthew_stafford,Matthew Stafford,QB,,2022,0,UNK
,,,,,8.48,chase_daniel,Chase Daniel,QB,,2022,0,UNK
,,,,,1.48,brian_hoyer,Brian Hoyer,QB,,2022,0,UNK
,,,,,0.0,graham_gano,Graham Gano,K,,2022,0,UNK
157.0,,,157,14,0.0,ryan_succop,Ryan Succop,K,,2022,0,UNK
,,,,,0.0,kevin_huber,Kevin Huber,P,,2022,0,UNK
,,,,,0.0,thomas_morstead,Thomas Morstead,P,,2022,0,UNK
,,,,,0.0,matt_overton,Matt Overton,LS,,2022,0,UNK
,,,,,0.0,jon_weeks,Jon Weeks,LS,,2022,0,UNK
,,,,,0.0,morgan_cox,Morgan Cox,LS,,2022,0,UNK
,,,,,0.0,devin_mccourty,Devin McCourty,FS,,2022,0,UNK
,,,,,0.0,rodger_saffold,Rodger Saffold,G,,2022,0,UNK
,,,,,0.0,carlos_dunlap,Carlos Dunlap,DE,,2022,0,UNK
